record_id,event_id,event_date,year,month,municipality,province,country,event_category,planned_flag,affected_area_as_published,affected_area_normalized,affected_flag,source_title,source_url,source_type,data_note
1,E001,2023-02-15,2023,2,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,power_outage,0,Inteke,Inteke,1,City Working to Resolve Power Outages Affecting Water Systems,https://www.durban.gov.za/press-statement/City%2BWorking%2Bto%2BResolve%2BPower%2BOutages%2BAffecting%2BWater%2BSystems.,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
22,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,Mlaba Village,Mlaba Village,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
23,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,Drummond,Drummond,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
24,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,Cliffdale,Cliffdale,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
25,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,Skhelekehleni,Skhelekehleni,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
26,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,Inchanga,Inchanga,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
27,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,Isithumba,Isithumba,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
28,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,Hillcrest,Hillcrest,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
29,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,Kwanyuswa,Kwanyuswa,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
30,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,Bothas Hill,Bothas Hill,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
31,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,Kloof,Kloof,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
32,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,New Germany,New Germany,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
33,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,Westmead,Westmead,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
34,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,Tshelimnyama,Tshelimnyama,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
35,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,KwaNdengezi,KwaNdengezi,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
36,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,Dassenhoek,Dassenhoek,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
37,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,Coffee Farm,Coffee Farm,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
38,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,KwaNdengezi Pitoli,KwaNdengezi Pitoli,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
39,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,Ntuzuma,Ntuzuma,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
40,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,Mzinyathi,Mzinyathi,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
41,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,Crestholme,Crestholme,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
42,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,Waterfall,Waterfall,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
43,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,Amatikwe,Amatikwe,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
44,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,Etafuleni,Etafuleni,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
45,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,Amaoti,Amaoti,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
46,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,Molweni,Molweni,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
47,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,Kwanqetho,Kwanqetho,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
48,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,Mshazi,Mshazi,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
49,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,Embo,Embo,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
50,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,Salem,Salem,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
51,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,Zwelibomvu,Zwelibomvu,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
52,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,Shongweni,Shongweni,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
53,E002,2023-05-14,2023,5,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,treatment_works_failure,0,Ntshongweni,Ntshongweni,1,Electrical Fault at Midmar Treatment Works Affects Water Supply To The Western Aqueduct,https://www.durban.gov.za/press-statement/Electrical%2BFault%2Bat%2BMidmar%2BTreatment%2BWorks%2BAffects%2BWater%2BSupply%2BTo%2BThe%2BWestern%2BAqueduct,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
54,E003,2023-06-22,2023,6,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,pipeline_failure,0,Athlone Park,Athlone Park,1,Interruption Of Water Supply On The South Coast Augmentation Pipeline,https://www.durban.gov.za/press-statement/Interruption%2BOf%2BWater%2BSupply%2BOn%2BThe%2BSouth%2BCoast%2BAugmentation%2BPipeline,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
55,E003,2023-06-22,2023,6,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,pipeline_failure,0,Ezimbokodweni,Ezimbokodweni,1,Interruption Of Water Supply On The South Coast Augmentation Pipeline,https://www.durban.gov.za/press-statement/Interruption%2BOf%2BWater%2BSupply%2BOn%2BThe%2BSouth%2BCoast%2BAugmentation%2BPipeline,Official eThekwini Municipality public notice / press statement,Factual affected-area event compiled from the cited official municipal notice; not a synthetic observation.
